Category,Reviews,Installs,Type,Size,Price,Content Rating,Genres,Current Version,Rating > 80%
23,36,100.0,0,2.6,0.0,0,36,1,True
32,334,10000.0,0,0.676,0.0,0,96,1,True
19,395,1000.0,1,19.0,9.99,0,80,6,True
21,385764,10000000.0,0,8.4,0.0,3,82,3,True
17,148990,10000000.0,0,46.0,0.0,0,30,1,True
21,142512,10000000.0,0,15.0,0.0,0,82,6,True
22,462702,10000000.0,0,45.0,0.0,0,83,8,True
22,88860,5000000.0,0,6.1,0.0,0,83,6,True
26,1961,100000.0,0,6.6,0.0,0,87,1,True
17,3344,500000.0,0,36.0,0.0,0,29,2,True
13,2599,100000.0,0,6.9,0.0,3,23,3,True
13,18539,1000000.0,0,57.0,0.0,0,23,1,True
18,253,10000.0,1,83.0,3.99,0,15,1,True
18,636995,10000000.0,0,49.0,0.0,1,30,4,True
17,17,500.0,0,28.0,0.0,0,42,1,True
18,2,500.0,0,2.6,0.0,0,11,1,True
18,3,500.0,0,29.0,0.0,0,11,5,True
19,10,100.0,0,46.0,0.0,0,80,5,True
4,25,5000.0,0,12.0,0.0,0,6,1,True
16,8004,100000.0,0,34.0,0.0,1,26,3,True
8,181893,10000000.0,0,18.0,0.0,2,11,3,True
25,24175,5000000.0,0,8.5,0.0,0,86,1,True
11,78361,1000000.0,0,22.0,0.0,0,21,1,True
0,132,10000.0,0,7.7,0.0,0,0,1,True
11,90,5000.0,0,13.0,0.0,0,21,5,True
18,1827,100000.0,0,12.0,0.0,0,11,1,True
17,6074627,100000000.0,0,100.0,0.0,1,29,6,True
25,533,100000.0,0,1.4,0.0,0,86,1,True
9,32458,5000000.0,0,18.0,0.0,0,17,2,True
18,64,10000.0,0,81.0,0.0,0,50,1,True
15,15,1000.0,0,1.4,0.0,0,25,1,True
27,112,1000.0,1,2.4,7.99,0,88,3,True
6,1,10.0,0,2.4,0.0,0,9,1,True
26,1724,100000.0,0,21.0,0.0,3,87,5,True
6,104990,5000000.0,0,10.0,0.0,0,9,3,True
27,3252896,100000000.0,0,50.0,0.0,0,88,2,True
19,65,10000.0,0,37.0,0.0,0,80,1,True
17,375996,10000000.0,0,3.3,0.0,0,42,1,True
21,6210998,100000000.0,0,15.0,0.0,0,82,4,True
22,346681,10000000.0,0,7.1,0.0,0,83,2,True
11,92,10000.0,0,1.5,0.0,0,21,1,True
17,4067651,100000000.0,0,69.0,0.0,2,33,2,True
3,8,5000.0,0,3.9,0.0,0,5,1,True
18,516,50000.0,0,21.0,0.0,0,13,1,True
17,1327269,50000000.0,0,99.0,0.0,1,38,1,True
23,1690802,50000000.0,0,58.0,0.0,0,36,2,True
17,33,1000.0,0,13.0,0.0,1,34,1,True
24,48930,5000000.0,0,15.0,0.0,0,84,4,True
18,81001,1000000.0,0,85.0,0.0,0,35,2,True
18,392819,10000000.0,0,53.0,0.0,0,66,3,True
17,2308916,10000000.0,0,87.0,0.0,1,34,1,True
23,2943,100000.0,0,8.1,0.0,0,36,6,True
18,4624,100000.0,0,78.0,0.0,0,11,2,True
15,45,5000.0,0,0.335,0.0,0,25,2,True
7,37053,1000000.0,0,44.0,0.0,3,10,4,True
13,20301,1000000.0,0,22.0,0.0,0,23,3,True
17,3057481,50000000.0,0,14.0,0.0,1,33,1,True
3,22486,1000000.0,0,5.4,0.0,1,5,3,True
12,8509,1000000.0,0,17.0,0.0,0,22,3,True
27,85,10000.0,0,44.0,0.0,0,88,2,True
18,8,100.0,0,2.7,0.0,0,17,1,True
6,21,5000.0,0,8.7,0.0,0,9,1,True
25,62,1000.0,0,2.3,0.0,0,86,1,True
21,5123,500000.0,0,14.0,0.0,0,82,4,True
20,231446,10000000.0,0,5.4,0.0,0,81,4,True
18,8,50.0,0,7.4,0.0,0,11,1,True
26,13,100.0,1,0.5,1.49,0,87,1,True
6,552635,10000000.0,0,29.0,0.0,0,9,6,True
20,1902,100000.0,0,5.2,0.0,0,81,1,True
6,659395,100000000.0,0,11.0,0.0,0,9,9,True
20,549,10000.0,0,17.0,0.0,1,81,3,True
20,3,50.0,0,2.4,0.0,1,81,2,True
26,398,100000.0,0,6.8,0.0,0,87,6,True
18,1357,50000.0,1,58.0,2.99,0,53,1,True
6,9498,1000000.0,0,0.118,0.0,0,9,5,True
6,158679,5000000.0,0,8.8,0.0,0,9,2,True
6,237468,1000000.0,0,8.8,0.0,0,9,2,True
11,100997,5000000.0,0,33.0,0.0,0,21,8,True
17,27722264,1000000000.0,0,76.0,0.0,2,29,1,True
13,5,100.0,0,43.0,0.0,0,23,7,True
17,51067,5000000.0,0,48.0,0.0,1,34,1,True
11,23130,1000000.0,0,46.0,0.0,0,21,2,True
25,67,10000.0,0,4.1,0.0,0,86,1,True
27,6011,500000.0,0,4.3,0.0,0,88,3,True
19,44,10000.0,0,34.0,0.0,0,80,3,True
11,2017,100000.0,0,2.4,0.0,0,21,2,True
25,648380,10000000.0,0,24.0,0.0,0,86,4,True
6,4187998,100000000.0,0,16.0,0.0,0,9,5,True
18,263454,10000000.0,0,74.0,0.0,0,35,2,True
7,7779,500000.0,0,12.0,0.0,3,10,6,True
18,14,1000.0,0,4.3,0.0,1,11,7,True
29,11510,1000000.0,0,3.5,0.0,0,93,1,True
3,21336,1000000.0,0,23.0,0.0,0,5,1,True
4,3,100.0,0,36.0,0.0,0,6,2,True
23,288809,10000000.0,0,6.6,0.0,0,36,2,True
9,14807,1000000.0,0,19.0,0.0,1,17,1,True
30,259605,10000000.0,0,3.1,0.0,0,94,1,True
23,820577,10000000.0,0,30.0,0.0,0,36,3,True
17,1017408,10000000.0,0,34.0,0.0,1,41,9,True
18,26347,1000000.0,0,48.0,0.0,2,17,1,True
11,12,1000.0,0,9.0,0.0,0,21,1,True
23,183004,10000000.0,0,100.0,0.0,0,36,2,True
19,73118,1000000.0,0,37.0,0.0,0,80,3,True
18,1111,100000.0,0,7.3,0.0,0,17,3,True
15,78,10000.0,0,0.812,0.0,0,25,2,True
17,11,10.0,0,6.1,0.0,0,29,0,True
17,4578476,50000000.0,0,24.0,0.0,2,33,1,True
17,4067651,100000000.0,0,69.0,0.0,2,33,2,True
26,25,500.0,1,15.0,1.49,0,87,1,True
22,1,100.0,0,2.3,0.0,0,83,1,True
3,1476,100000.0,0,41.0,0.0,0,5,1,True
18,23,1000.0,0,33.0,0.0,1,30,1,True
